words,category,weight
expand,care.virtue,0.002093138
impressed,care.virtue,0.001888271
enjoy,care.virtue,0.00182661
caregivers,care.virtue,0.001783172
bomb,care.vice,0.00730703
suspects,care.vice,0.00730026
assault,care.vice,0.00688914
wounded,care.vice,0.006624035
true,fairness.virtue,0.003226201
treat,fairness.virtue,0.002927203
bureaus,fairness.virtue,0.002737538
approval,fairness.virtue,0.002681533
poor,fairness.vice,0.006175873
immigrants,fairness.vice,0.005156349
detention,fairness.vice,0.005069543
crisis,fairness.vice,0.00478171
proud,loyalty.virtue,0.003008529
passionate,loyalty.virtue,0.002956117
want,loyalty.virtue,0.002638041
confidence,loyalty.virtue,0.002562659
rage,loyalty.vice,0.00281645
hostility,loyalty.vice,0.002781415
coup,loyalty.vice,0.002740776
city,loyalty.vice,0.002735728
easy,authority.virtue,0.001882261
cabinets,authority.virtue,0.001771486
appreciated,authority.virtue,0.001691579
build,authority.virtue,0.00165074
combat,authority.vice,0.003288112
agents,authority.vice,0.003285306
authorities,authority.vice,0.00317921
military,authority.vice,0.003154946
kind,sanctity.virtue,0.002424867
diet,sanctity.virtue,0.002411415
wealth,sanctity.virtue,0.002228954
generosity,sanctity.virtue,0.002191601
hunger,sanctity.vice,0.004296715
heroin,sanctity.vice,0.004084445
gang,sanctity.vice,0.003803925
enemies,sanctity.vice,0.00369044
staughld,nonword,
weild,nonword,
whoond,nonword,
scylde,nonword,
kneighed,nonword,
phlaizz,nonword,
yacte,nonword,
queighld,nonword,
sypht,nonword,
sloaze,nonword,
