,words,category,correct_amp,correct_ldt,masks
0,care,care.virtue,left,right,&&&&
1,help,care.virtue,left,right,&&&&
2,health,care.virtue,left,right,&&&&&&
3,good,care.virtue,left,right,&&&&
4,peace,care.virtue,left,right,&&&&&
5,safe,care.virtue,left,right,&&&&
6,compassion,care.virtue,left,right,&&&&&&&&&&
7,safety,care.virtue,left,right,&&&&&&
8,improve,care.virtue,left,right,&&&&&&&
9,growth,care.virtue,left,right,&&&&&&
10,increase,care.virtue,left,right,&&&&&&&&
11,restore,care.virtue,left,right,&&&&&&&
12,killed,care.vice,right,right,&&&&&&
13,death,care.vice,right,right,&&&&&
14,violence,care.vice,right,right,&&&&&&&&
15,attacks,care.vice,right,right,&&&&&&&
16,civilians,care.vice,right,right,&&&&&&&&&
17,suicide,care.vice,right,right,&&&&&&&
18,died,care.vice,right,right,&&&&
19,torture,care.vice,right,right,&&&&&&&
20,victims,care.vice,right,right,&&&&&&&
21,victim,care.vice,right,right,&&&&&&
22,injured,care.vice,right,right,&&&&&&&
23,shot,care.vice,right,right,&&&&
24,free,fairness.virtue,left,right,&&&&
25,ensure,fairness.virtue,left,right,&&&&&&
26,protect,fairness.virtue,left,right,&&&&&&&
27,benefit,fairness.virtue,left,right,&&&&&&&
28,integrity,fairness.virtue,left,right,&&&&&&&&&
29,interests,fairness.virtue,left,right,&&&&&&&&&
30,credit,fairness.virtue,left,right,&&&&&&
31,agreement,fairness.virtue,left,right,&&&&&&&&&
32,opportunity,fairness.virtue,left,right,&&&&&&&&&&&
33,fair,fairness.virtue,left,right,&&&&
34,win,fairness.virtue,left,right,&&&
35,promises,fairness.virtue,left,right,&&&&&&&&
36,fraud,fairness.vice,right,right,&&&&&
37,illegal,fairness.vice,right,right,&&&&&&&
38,crime,fairness.vice,right,right,&&&&&
39,hate,fairness.vice,right,right,&&&&
40,prison,fairness.vice,right,right,&&&&&&
41,accused,fairness.vice,right,right,&&&&&&&
42,lies,fairness.vice,right,right,&&&&
