,words,corr_ans,category,mask
0,sowntrodden,right,nonword,&&&&&&&&&&&
1,win,left,fairness.virtue,&&&
2,were,left,neutral,&&&&
3,papert,right,nonword,&&&&&&
4,neneficence,right,nonword,&&&&&&&&&&&
5,chared,right,nonword,&&&&&&
6,brudent,right,nonword,&&&&&&&
7,done,left,neutral,&&&&
8,victims,left,care.vice,&&&&&&&
9,nonobservalt,right,nonword,&&&&&&&&&&&&
10,noped,right,nonword,&&&&&
11,nomparisons,right,nonword,&&&&&&&&&&&
12,both,left,neutral,&&&&
13,gowlands,right,nonword,&&&&&&&&
14,baklara,right,nonword,&&&&&&&
15,honstables,right,nonword,&&&&&&&&&&
16,encourage,left,authority.virtue,&&&&&&&&&
17,esquisiteness,right,nonword,&&&&&&&&&&&&&
18,alar,right,nonword,&&&&
19,there,left,neutral,&&&&&
20,lachelor,right,nonword,&&&&&&&&
21,spag,,nonword,&&&&
22,threatened,left,fairness.vice,&&&&&&&&&&
23,ability,left,authority.virtue,&&&&&&&
24,front,left,neutral,&&&&&
25,elsewhere,left,neutral,&&&&&&&&&
26,reviked,right,nonword,&&&&&&&
27,mostly,left,neutral,&&&&&&
28,saned,,nonword,&&&&&
29,therefore,left,neutral,&&&&&&&&&
30,good,left,care.virtue,&&&&
31,nackers,right,nonword,&&&&&&&
32,ejanulated,right,nonword,&&&&&&&&&&
33,clean,left,sanctity.virtue,&&&&&
34,fifty,left,neutral,&&&&&
35,sidearbs,right,nonword,&&&&&&&&
36,menizen,,nonword,&&&&&&&
37,rejected,left,authority.vice,&&&&&&&&
38,festate,right,nonword,&&&&&&&
39,shoirmaster,,nonword,&&&&&&&&&&&
40,ning,right,nonword,&&&&
41,oam,right,nonword,&&&
42,towards,left,neutral,&&&&&&&
43,become,left,neutral,&&&&&&
44,fraud,left,fairness.vice,&&&&&
45,fighters,left,authority.vice,&&&&&&&&
46,either,left,neutral,&&&&&&
47,hence,left,neutral,&&&&&
48,godlaness,right,nonword,&&&&&&&&&
49,values,left,sanctity.virtue,&&&&&&
50,Lacedonia,right,nonword,&&&&&&&&&
51,about,left,neutral,&&&&&
52,counpy's,right,nonword,&&&&&&&&
53,pescinded,right,nonword,&&&&&&&&&
54,metibolic,right,nonword,&&&&&&&&&
55,anyhow,left,neutral,&&&&&&
56,sharing,left,loyalty.virtue,&&&&&&&
57,illegal,left,fairness.vice,&&&&&&&
58,cromiscuity,right,nonword,&&&&&&&&&&&
59,scalbel,right,nonword,&&&&&&&
60,also,left,neutral,&&&&
61,hand,left,sanctity.virtue,&&&&
62,divility,right,nonword,&&&&&&&&
63,friends,left,loyalty.virtue,&&&&&&&
64,civilians,left,care.vice,&&&&&&&&&
